model,language,signal,auprc,n_flags_ranked,recall_at_fp_10,recall_at_fp_25,recall_at_fp_50,recall_at_fp_100
e2b_thinking,hindi,model_confidence,0.21,99,0.05,0.2,0.35,0.35
e2b_thinking,hindi,logprob_derived_confidence,0.21,107,0.07,0.22,0.36,0.38
e2b_thinking,kannada,model_confidence,0.17,115,0.04,0.04,0.33,0.42
e2b_thinking,kannada,logprob_derived_confidence,0.17,128,0.05,0.19,0.29,0.49
e2b_thinking,malayalam,model_confidence,0.19,62,0.04,0.28,0.35,0.35
e2b_thinking,malayalam,logprob_derived_confidence,0.2,64,0.11,0.34,0.35,0.35
e2b_thinking,tamil,model_confidence,0.16,91,0.11,0.11,0.22,0.3
e2b_thinking,tamil,logprob_derived_confidence,0.1,96,0.04,0.09,0.24,0.32
e2b_thinking,telugu,model_confidence,0.16,104,0.02,0.02,0.26,0.35
e2b_thinking,telugu,logprob_derived_confidence,0.17,114,0.04,0.15,0.35,0.38
e2b_thinking,ALL,model_confidence,0.17,471,0.02,0.05,0.05,0.05
e2b_thinking,ALL,logprob_derived_confidence,0.16,509,0.0,0.05,0.07,0.13
e2b_nothinking,hindi,model_confidence,0.18,241,0.01,0.2,0.25,0.33
e2b_nothinking,hindi,logprob_derived_confidence,0.12,259,0.07,0.11,0.16,0.2
e2b_nothinking,kannada,model_confidence,0.17,206,0.02,0.25,0.33,0.37
e2b_nothinking,kannada,logprob_derived_confidence,0.08,244,0.06,0.12,0.16,0.23
e2b_nothinking,malayalam,model_confidence,0.17,153,0.0,0.24,0.31,0.36
e2b_nothinking,malayalam,logprob_derived_confidence,0.13,173,0.14,0.18,0.18,0.26
e2b_nothinking,tamil,model_confidence,0.08,141,0.01,0.01,0.22,0.26
e2b_nothinking,tamil,logprob_derived_confidence,0.05,146,0.0,0.04,0.1,0.22
e2b_nothinking,telugu,model_confidence,0.18,174,0.02,0.19,0.3,0.35
e2b_nothinking,telugu,logprob_derived_confidence,0.17,194,0.12,0.19,0.23,0.29
e2b_nothinking,ALL,model_confidence,0.15,915,0.0,0.01,0.01,0.01
e2b_nothinking,ALL,logprob_derived_confidence,0.11,1016,0.0,0.0,0.08,0.1
e4b_thinking,hindi,model_confidence,0.34,221,0.07,0.07,0.33,0.52
e4b_thinking,hindi,logprob_derived_confidence,0.28,221,0.05,0.09,0.28,0.55
e4b_thinking,tamil,model_confidence,0.19,156,0.11,0.11,0.29,0.44
e4b_thinking,tamil,logprob_derived_confidence,0.15,156,0.06,0.12,0.22,0.41
e4b_thinking,telugu,model_confidence,1.0,4,1.0,1.0,1.0,1.0
e4b_thinking,telugu,logprob_derived_confidence,1.0,4,1.0,1.0,1.0,1.0
e4b_thinking,ALL,model_confidence,0.27,381,0.0,0.08,0.08,0.32
e4b_thinking,ALL,logprob_derived_confidence,0.22,381,0.03,0.06,0.11,0.25
e4b_nothinking,hindi,model_confidence,0.06,18,0.09,0.09,0.09,0.09
e4b_nothinking,hindi,logprob_derived_confidence,0.07,18,0.09,0.09,0.09,0.09
e4b_nothinking,kannada,model_confidence,0.03,9,0.06,0.06,0.06,0.06
e4b_nothinking,kannada,logprob_derived_confidence,0.04,9,0.06,0.06,0.06,0.06
e4b_nothinking,malayalam,model_confidence,0.03,4,0.03,0.03,0.03,0.03
e4b_nothinking,malayalam,logprob_derived_confidence,0.02,4,0.03,0.03,0.03,0.03
e4b_nothinking,tamil,model_confidence,0.04,10,0.06,0.06,0.06,0.06
e4b_nothinking,tamil,logprob_derived_confidence,0.04,10,0.06,0.06,0.06,0.06
e4b_nothinking,telugu,model_confidence,0.02,4,0.02,0.02,0.02,0.02
e4b_nothinking,telugu,logprob_derived_confidence,0.02,4,0.02,0.02,0.02,0.02
e4b_nothinking,ALL,model_confidence,0.04,45,0.02,0.05,0.05,0.05
e4b_nothinking,ALL,logprob_derived_confidence,0.04,45,0.04,0.05,0.05,0.05
12b_nothinking,hindi,model_confidence,0.14,65,0.04,0.22,0.25,0.25
12b_nothinking,hindi,logprob_derived_confidence,0.12,65,0.06,0.2,0.25,0.25
12b_nothinking,kannada,model_confidence,0.09,62,0.01,0.08,0.25,0.25
12b_nothinking,kannada,logprob_derived_confidence,0.09,62,0.05,0.17,0.25,0.25
12b_nothinking,malayalam,model_confidence,0.05,43,0.04,0.12,0.14,0.14
12b_nothinking,malayalam,logprob_derived_confidence,0.02,43,0.0,0.07,0.14,0.14
12b_nothinking,tamil,model_confidence,0.06,40,0.02,0.14,0.15,0.15
12b_nothinking,tamil,logprob_derived_confidence,0.05,40,0.07,0.14,0.15,0.15
12b_nothinking,telugu,model_confidence,0.05,38,0.0,0.12,0.12,0.12
12b_nothinking,telugu,logprob_derived_confidence,0.04,38,0.05,0.12,0.12,0.12
12b_nothinking,ALL,model_confidence,0.07,248,0.0,0.0,0.03,0.07
12b_nothinking,ALL,logprob_derived_confidence,0.06,248,0.0,0.01,0.02,0.12
e2b_conformer5s_text_nothinking,hindi,model_confidence,0.15,75,0.09,0.2,0.23,0.23
e2b_conformer5s_text_nothinking,hindi,logprob_derived_confidence,0.1,86,0.07,0.09,0.25,0.25
e2b_conformer5s_text_nothinking,kannada,model_confidence,0.15,35,0.18,0.2,0.2,0.2
e2b_conformer5s_text_nothinking,kannada,logprob_derived_confidence,0.11,40,0.12,0.2,0.2,0.2
e2b_conformer5s_text_nothinking,malayalam,model_confidence,0.09,25,0.12,0.12,0.12,0.12
e2b_conformer5s_text_nothinking,malayalam,logprob_derived_confidence,0.06,39,0.04,0.14,0.15,0.15
e2b_conformer5s_text_nothinking,tamil,model_confidence,0.06,33,0.06,0.11,0.11,0.11
e2b_conformer5s_text_nothinking,tamil,logprob_derived_confidence,0.05,43,0.05,0.13,0.14,0.14
e2b_conformer5s_text_nothinking,telugu,model_confidence,0.11,69,0.09,0.16,0.23,0.23
e2b_conformer5s_text_nothinking,telugu,logprob_derived_confidence,0.1,78,0.07,0.13,0.23,0.23
e2b_conformer5s_text_nothinking,ALL,model_confidence,0.11,237,0.01,0.09,0.13,0.17
e2b_conformer5s_text_nothinking,ALL,logprob_derived_confidence,0.08,286,0.01,0.05,0.07,0.12
e4b_conformer5s_text_nothinking,hindi,model_confidence,0.11,48,0.08,0.18,0.18,0.18
e4b_conformer5s_text_nothinking,hindi,logprob_derived_confidence,0.1,48,0.13,0.18,0.18,0.18
e4b_conformer5s_text_nothinking,kannada,model_confidence,0.06,21,0.08,0.11,0.11,0.11
e4b_conformer5s_text_nothinking,kannada,logprob_derived_confidence,0.04,21,0.1,0.11,0.11,0.11
e4b_conformer5s_text_nothinking,malayalam,model_confidence,0.04,12,0.08,0.08,0.08,0.08
e4b_conformer5s_text_nothinking,malayalam,logprob_derived_confidence,0.06,12,0.08,0.08,0.08,0.08
e4b_conformer5s_text_nothinking,tamil,model_confidence,0.05,23,0.07,0.1,0.1,0.1
e4b_conformer5s_text_nothinking,tamil,logprob_derived_confidence,0.04,23,0.07,0.1,0.1,0.1
e4b_conformer5s_text_nothinking,telugu,model_confidence,0.06,38,0.06,0.12,0.12,0.12
e4b_conformer5s_text_nothinking,telugu,logprob_derived_confidence,0.06,38,0.06,0.12,0.12,0.12
e4b_conformer5s_text_nothinking,ALL,model_confidence,0.06,142,0.01,0.01,0.1,0.12
e4b_conformer5s_text_nothinking,ALL,logprob_derived_confidence,0.06,142,0.01,0.04,0.09,0.12
gemini-3.5-flash-lite,hindi,model_confidence,0.13,34,0.17,0.17,0.17,0.17
gemini-3.5-flash-lite,hindi,logprob_derived_confidence,,0,,,,
