source,bucket,n_files,mean_semantic_wer,min_semantic_wer,max_semantic_wer
indic_conformer,0.0-0.1,5,0.0,0.0,0.0
indic_conformer,0.1-0.2,29,0.09,0.0,0.26
indic_conformer,0.2-0.3,158,0.11,0.0,0.45
indic_conformer,0.3-0.4,266,0.14,0.0,0.67
indic_conformer,0.4-0.5,421,0.16,0.0,0.93
indic_conformer,0.5-0.6,304,0.21,0.0,1.11
indic_conformer,0.6-0.7,173,0.35,0.0,1.08
indic_conformer,0.7-0.8,89,0.47,0.01,1.1
indic_conformer,0.8-0.9,34,0.68,0.02,1.18
indic_conformer,0.9-1.0,10,0.87,0.3,1.0
indic_conformer,1.0-1.1,14,0.37,0.0,1.0
indic_conformer,1.1-1.2,4,0.58,0.0,1.0
indic_conformer,1.2-1.3,1,0.64,0.64,0.64
indic_conformer,1.3-1.4,5,0.28,0.0,0.6
indic_conformer,1.4-1.5,1,0.22,0.22,0.22
indic_conformer,1.5+,3,0.27,0.0,0.8
indic_transcribe_core,0.0-0.1,17,0.02,0.0,0.24
indic_transcribe_core,0.1-0.2,183,0.03,0.0,0.19
indic_transcribe_core,0.2-0.3,371,0.03,0.0,0.23
indic_transcribe_core,0.3-0.4,325,0.04,0.0,0.53
indic_transcribe_core,0.4-0.5,190,0.05,0.0,0.55
indic_transcribe_core,0.5-0.6,114,0.09,0.0,1.0
indic_transcribe_core,0.6-0.7,62,0.11,0.0,0.83
indic_transcribe_core,0.7-0.8,37,0.12,0.0,0.69
indic_transcribe_core,0.8-0.9,26,0.24,0.0,0.95
indic_transcribe_core,0.9-1.0,17,0.11,0.0,0.78
indic_transcribe_core,1.0-1.1,18,0.36,0.0,1.0
indic_transcribe_core,1.1-1.2,7,0.2,0.02,0.6
indic_transcribe_core,1.2-1.3,7,0.31,0.0,0.9
indic_transcribe_core,1.3-1.4,10,0.05,0.01,0.14
indic_transcribe_core,1.4-1.5,11,0.11,0.01,0.9
indic_transcribe_core,1.5+,101,0.21,0.0,1.02
