model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
e2b_thinking,hindi,0.0-0.2,0,0,0,,,,
e2b_thinking,hindi,0.2-0.4,0,0,0,,,,
e2b_thinking,hindi,0.4-0.6,1,0,1,0.0,0.67,,0.67
e2b_thinking,hindi,0.6-0.8,3,1,2,0.33,0.13,0.12,0.13
e2b_thinking,hindi,0.8-1.0,103,51,52,0.5,0.19,0.18,0.19
e2b_thinking,kannada,0.0-0.2,0,0,0,,,,
e2b_thinking,kannada,0.2-0.4,0,0,0,,,,
e2b_thinking,kannada,0.4-0.6,1,0,1,0.0,0.23,,0.23
e2b_thinking,kannada,0.6-0.8,6,3,3,0.5,0.31,0.24,0.38
e2b_thinking,kannada,0.8-1.0,121,38,83,0.31,0.19,0.2,0.19
e2b_thinking,malayalam,0.0-0.2,0,0,0,,,,
e2b_thinking,malayalam,0.2-0.4,0,0,0,,,,
e2b_thinking,malayalam,0.4-0.6,0,0,0,,,,
e2b_thinking,malayalam,0.6-0.8,1,0,1,0.0,0.33,,0.33
e2b_thinking,malayalam,0.8-1.0,63,26,37,0.41,0.17,0.17,0.17
e2b_thinking,tamil,0.0-0.2,0,0,0,,,,
e2b_thinking,tamil,0.2-0.4,0,0,0,,,,
e2b_thinking,tamil,0.4-0.6,0,0,0,,,,
e2b_thinking,tamil,0.6-0.8,3,2,1,0.67,0.32,0.39,0.17
e2b_thinking,tamil,0.8-1.0,93,28,65,0.3,0.18,0.16,0.18
e2b_thinking,telugu,0.0-0.2,0,0,0,,,,
e2b_thinking,telugu,0.2-0.4,0,0,0,,,,
e2b_thinking,telugu,0.4-0.6,0,0,0,,,,
e2b_thinking,telugu,0.6-0.8,4,0,4,0.0,0.28,,0.28
e2b_thinking,telugu,0.8-1.0,110,47,63,0.43,0.2,0.2,0.21
e2b_thinking,ALL,0.0-0.2,0,0,0,,,,
e2b_thinking,ALL,0.2-0.4,0,0,0,,,,
e2b_thinking,ALL,0.4-0.6,2,0,2,0.0,0.45,,0.45
e2b_thinking,ALL,0.6-0.8,17,6,11,0.35,0.28,0.27,0.28
e2b_thinking,ALL,0.8-1.0,490,190,300,0.39,0.19,0.18,0.19
e2b_nothinking,hindi,0.0-0.2,0,0,0,,,,
e2b_nothinking,hindi,0.2-0.4,0,0,0,,,,
e2b_nothinking,hindi,0.4-0.6,0,0,0,,,,
e2b_nothinking,hindi,0.6-0.8,19,3,16,0.16,0.2,0.16,0.21
e2b_nothinking,hindi,0.8-1.0,240,52,188,0.22,0.18,0.2,0.17
e2b_nothinking,kannada,0.0-0.2,0,0,0,,,,
e2b_nothinking,kannada,0.2-0.4,0,0,0,,,,
e2b_nothinking,kannada,0.4-0.6,0,0,0,,,,
e2b_nothinking,kannada,0.6-0.8,15,2,13,0.13,0.58,0.57,0.58
e2b_nothinking,kannada,0.8-1.0,229,30,199,0.13,0.5,0.41,0.52
e2b_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e2b_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e2b_nothinking,malayalam,0.4-0.6,0,0,0,,,,
e2b_nothinking,malayalam,0.6-0.8,13,1,12,0.08,0.41,0.34,0.42
e2b_nothinking,malayalam,0.8-1.0,160,28,132,0.17,0.53,0.5,0.54
e2b_nothinking,tamil,0.0-0.2,0,0,0,,,,
e2b_nothinking,tamil,0.2-0.4,0,0,0,,,,
