model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
e2b_thinking,hindi,0.0-0.2,0,0,0,,,,
e2b_thinking,hindi,0.2-0.4,7,4,3,0.57,0.21,0.21,0.22
e2b_thinking,hindi,0.4-0.6,30,11,19,0.37,0.18,0.23,0.15
e2b_thinking,hindi,0.6-0.8,2,0,2,0.0,0.41,,0.41
e2b_thinking,hindi,0.8-1.0,60,33,27,0.55,0.18,0.15,0.22
e2b_thinking,kannada,0.0-0.2,0,0,0,,,,
e2b_thinking,kannada,0.2-0.4,3,1,2,0.33,0.11,0.33,0.0
e2b_thinking,kannada,0.4-0.6,49,7,42,0.14,0.23,0.28,0.22
e2b_thinking,kannada,0.6-0.8,0,0,0,,,,
e2b_thinking,kannada,0.8-1.0,63,27,36,0.43,0.16,0.16,0.17
e2b_thinking,malayalam,0.0-0.2,0,0,0,,,,
e2b_thinking,malayalam,0.2-0.4,3,2,1,0.67,0.29,0.21,0.45
e2b_thinking,malayalam,0.4-0.6,14,3,11,0.21,0.23,0.16,0.25
e2b_thinking,malayalam,0.6-0.8,0,0,0,,,,
e2b_thinking,malayalam,0.8-1.0,45,21,24,0.47,0.14,0.17,0.12
e2b_thinking,tamil,0.0-0.2,0,0,0,,,,
e2b_thinking,tamil,0.2-0.4,9,1,8,0.11,0.28,0.11,0.3
e2b_thinking,tamil,0.4-0.6,15,6,9,0.4,0.15,0.15,0.15
e2b_thinking,tamil,0.6-0.8,1,1,0,1.0,0.39,0.39,
e2b_thinking,tamil,0.8-1.0,66,20,46,0.3,0.17,0.17,0.17
e2b_thinking,telugu,0.0-0.2,0,0,0,,,,
e2b_thinking,telugu,0.2-0.4,1,1,0,1.0,0.31,0.31,
e2b_thinking,telugu,0.4-0.6,27,10,17,0.37,0.17,0.15,0.18
e2b_thinking,telugu,0.6-0.8,2,0,2,0.0,0.45,,0.45
e2b_thinking,telugu,0.8-1.0,74,32,42,0.43,0.21,0.21,0.2
e2b_thinking,ALL,0.0-0.2,0,0,0,,,,
e2b_thinking,ALL,0.2-0.4,23,9,14,0.39,0.24,0.22,0.25
e2b_thinking,ALL,0.4-0.6,135,37,98,0.27,0.2,0.2,0.19
e2b_thinking,ALL,0.6-0.8,5,1,4,0.2,0.42,0.39,0.43
e2b_thinking,ALL,0.8-1.0,308,133,175,0.43,0.18,0.17,0.18
e2b_nothinking,hindi,0.0-0.2,72,3,69,0.04,0.19,0.07,0.19
e2b_nothinking,hindi,0.2-0.4,24,4,20,0.17,0.12,0.13,0.12
e2b_nothinking,hindi,0.4-0.6,80,15,65,0.19,0.17,0.21,0.16
e2b_nothinking,hindi,0.6-0.8,14,4,10,0.29,0.15,0.17,0.14
e2b_nothinking,hindi,0.8-1.0,51,27,24,0.53,0.22,0.21,0.22
e2b_nothinking,kannada,0.0-0.2,78,0,78,0.0,0.52,,0.52
e2b_nothinking,kannada,0.2-0.4,12,1,11,0.08,0.47,0.31,0.49
e2b_nothinking,kannada,0.4-0.6,55,4,51,0.07,0.5,0.56,0.5
e2b_nothinking,kannada,0.6-0.8,9,4,5,0.44,0.35,0.23,0.44
e2b_nothinking,kannada,0.8-1.0,52,22,30,0.42,0.47,0.44,0.49
e2b_nothinking,malayalam,0.0-0.2,43,0,43,0.0,0.59,,0.59
e2b_nothinking,malayalam,0.2-0.4,24,2,22,0.08,0.49,0.38,0.5
e2b_nothinking,malayalam,0.4-0.6,43,7,36,0.16,0.52,0.4,0.54
e2b_nothinking,malayalam,0.6-0.8,3,0,3,0.0,0.54,,0.54
e2b_nothinking,malayalam,0.8-1.0,40,18,22,0.45,0.53,0.53,0.52
e2b_nothinking,tamil,0.0-0.2,38,2,36,0.05,0.54,0.41,0.55
e2b_nothinking,tamil,0.2-0.4,8,0,8,0.0,0.67,,0.67
e2b_nothinking,tamil,0.4-0.6,40,8,32,0.2,0.51,0.38,0.54
e2b_nothinking,tamil,0.6-0.8,10,2,8,0.2,0.51,0.72,0.46
e2b_nothinking,tamil,0.8-1.0,45,14,31,0.31,0.46,0.47,0.45
e2b_nothinking,telugu,0.0-0.2,65,1,64,0.02,0.6,0.24,0.61
e2b_nothinking,telugu,0.2-0.4,15,1,14,0.07,0.47,0.57,0.47
e2b_nothinking,telugu,0.4-0.6,28,7,21,0.25,0.52,0.44,0.55
e2b_nothinking,telugu,0.6-0.8,5,2,3,0.4,0.48,0.38,0.54
e2b_nothinking,telugu,0.8-1.0,61,33,28,0.54,0.56,0.53,0.6
e2b_nothinking,ALL,0.0-0.2,296,6,290,0.02,0.47,0.21,0.48
e2b_nothinking,ALL,0.2-0.4,83,8,75,0.1,0.39,0.27,0.41
e2b_nothinking,ALL,0.4-0.6,246,41,205,0.17,0.4,0.35,0.41
e2b_nothinking,ALL,0.6-0.8,41,12,29,0.29,0.35,0.32,0.36
e2b_nothinking,ALL,0.8-1.0,249,114,135,0.46,0.45,0.43,0.46
e4b_thinking,hindi,0.0-0.2,0,0,0,,,,
e4b_thinking,hindi,0.2-0.4,23,4,19,0.17,0.34,0.26,0.36
e4b_thinking,hindi,0.4-0.6,53,16,37,0.3,0.28,0.22,0.31
e4b_thinking,hindi,0.6-0.8,4,3,1,0.75,0.55,0.23,1.53
e4b_thinking,hindi,0.8-1.0,141,69,72,0.49,0.3,0.27,0.32
e4b_thinking,tamil,0.0-0.2,0,0,0,,,,
e4b_thinking,tamil,0.2-0.4,19,3,16,0.16,0.35,0.16,0.38
e4b_thinking,tamil,0.4-0.6,26,8,18,0.31,0.27,0.27,0.27
e4b_thinking,tamil,0.6-0.8,2,0,2,0.0,0.25,,0.25
e4b_thinking,tamil,0.8-1.0,109,33,76,0.3,0.32,0.26,0.34
e4b_thinking,telugu,0.0-0.2,0,0,0,,,,
e4b_thinking,telugu,0.2-0.4,0,0,0,,,,
e4b_thinking,telugu,0.4-0.6,0,0,0,,,,
e4b_thinking,telugu,0.6-0.8,0,0,0,,,,
e4b_thinking,telugu,0.8-1.0,4,4,0,1.0,0.23,0.23,
e4b_thinking,ALL,0.0-0.2,0,0,0,,,,
e4b_thinking,ALL,0.2-0.4,42,7,35,0.17,0.35,0.22,0.37
e4b_thinking,ALL,0.4-0.6,79,24,55,0.3,0.28,0.24,0.3
e4b_thinking,ALL,0.6-0.8,6,3,3,0.5,0.45,0.23,0.68
e4b_thinking,ALL,0.8-1.0,254,106,148,0.42,0.31,0.27,0.33
e4b_nothinking,hindi,0.0-0.2,0,0,0,,,,
e4b_nothinking,hindi,0.2-0.4,0,0,0,,,,
e4b_nothinking,hindi,0.4-0.6,2,1,1,0.5,0.52,0.45,0.59
e4b_nothinking,hindi,0.6-0.8,1,0,1,0.0,0.67,,0.67
e4b_nothinking,hindi,0.8-1.0,15,11,4,0.73,0.27,0.28,0.26
e4b_nothinking,kannada,0.0-0.2,0,0,0,,,,
e4b_nothinking,kannada,0.2-0.4,0,0,0,,,,
e4b_nothinking,kannada,0.4-0.6,0,0,0,,,,
e4b_nothinking,kannada,0.6-0.8,0,0,0,,,,
e4b_nothinking,kannada,0.8-1.0,9,5,4,0.56,0.38,0.35,0.41
e4b_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e4b_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e4b_nothinking,malayalam,0.4-0.6,1,0,1,0.0,0.63,,0.63
e4b_nothinking,malayalam,0.6-0.8,1,0,1,0.0,0.98,,0.98
e4b_nothinking,malayalam,0.8-1.0,2,2,0,1.0,0.85,0.85,
e4b_nothinking,tamil,0.0-0.2,0,0,0,,,,
e4b_nothinking,tamil,0.2-0.4,0,0,0,,,,
e4b_nothinking,tamil,0.4-0.6,0,0,0,,,,
e4b_nothinking,tamil,0.6-0.8,0,0,0,,,,
e4b_nothinking,tamil,0.8-1.0,10,6,4,0.6,0.65,0.52,0.85
e4b_nothinking,telugu,0.0-0.2,0,0,0,,,,
e4b_nothinking,telugu,0.2-0.4,0,0,0,,,,
e4b_nothinking,telugu,0.4-0.6,0,0,0,,,,
e4b_nothinking,telugu,0.6-0.8,0,0,0,,,,
e4b_nothinking,telugu,0.8-1.0,4,3,1,0.75,0.32,0.27,0.47
e4b_nothinking,ALL,0.0-0.2,0,0,0,,,,
e4b_nothinking,ALL,0.2-0.4,0,0,0,,,,
e4b_nothinking,ALL,0.4-0.6,3,1,2,0.33,0.56,0.45,0.61
e4b_nothinking,ALL,0.6-0.8,2,0,2,0.0,0.82,,0.82
