model,language,n_files,tp,fp,fn,tn,precision,recall,specificity,accuracy,mean_entropy_overall,n_flags_with_entropy,mean_entropy_tp_flags,n_tp_flags_with_entropy,mean_entropy_fp_flags,n_fp_flags_with_entropy
e2b_thinking,hindi,117,37,13,21,46,0.74,0.64,0.78,0.71,0.19,107,0.18,52,0.2,55
e2b_thinking,kannada,68,24,8,7,29,0.75,0.77,0.78,0.78,0.2,128,0.2,41,0.2,87
e2b_thinking,malayalam,58,20,6,15,17,0.77,0.57,0.74,0.64,0.17,64,0.17,26,0.18,38
e2b_thinking,tamil,65,19,10,15,21,0.66,0.56,0.68,0.62,0.18,96,0.18,30,0.18,66
e2b_thinking,telugu,73,35,2,21,15,0.95,0.62,0.88,0.68,0.2,114,0.2,47,0.21,67
e2b_nothinking,hindi,117,34,18,24,41,0.65,0.59,0.69,0.64,0.18,259,0.19,55,0.17,204
e2b_nothinking,kannada,68,19,18,12,19,0.51,0.61,0.51,0.56,0.51,244,0.42,32,0.52,212
e2b_nothinking,malayalam,58,23,9,12,14,0.72,0.66,0.61,0.64,0.52,173,0.5,29,0.53,144
e2b_nothinking,tamil,65,21,14,13,17,0.6,0.62,0.55,0.58,0.51,146,0.45,27,0.52,119
e2b_nothinking,telugu,73,33,5,23,12,0.87,0.59,0.71,0.62,0.56,194,0.5,49,0.58,145
e4b_thinking,hindi,117,48,11,10,48,0.81,0.83,0.81,0.82,0.31,221,0.26,92,0.34,129
e4b_thinking,tamil,65,26,13,8,18,0.67,0.76,0.58,0.68,0.31,156,0.25,44,0.33,112
e4b_thinking,telugu,1,1,0,0,0,1.0,1.0,,1.0,0.23,4,0.23,4,,0
e4b_nothinking,hindi,116,11,2,46,57,0.85,0.19,0.97,0.59,0.32,18,0.29,12,0.38,6
e4b_nothinking,kannada,68,4,0,27,37,1.0,0.13,1.0,0.6,0.38,9,0.35,5,0.41,4
e4b_nothinking,malayalam,58,2,1,33,22,0.67,0.06,0.96,0.41,0.83,4,0.85,2,0.81,2
e4b_nothinking,tamil,65,6,1,28,30,0.86,0.18,0.97,0.55,0.65,10,0.52,6,0.85,4
e4b_nothinking,telugu,73,3,0,53,17,1.0,0.05,1.0,0.27,0.32,4,0.27,3,0.47,1
12b_nothinking,hindi,117,26,4,32,55,0.87,0.45,0.93,0.69,,0,,0,,0
12b_nothinking,kannada,68,15,5,16,32,0.75,0.48,0.86,0.69,,0,,0,,0
12b_nothinking,malayalam,58,8,2,27,21,0.8,0.23,0.91,0.5,,0,,0,,0
12b_nothinking,tamil,65,11,6,23,25,0.65,0.32,0.81,0.55,,0,,0,,0
12b_nothinking,telugu,73,13,2,43,15,0.87,0.23,0.88,0.38,,0,,0,,0
e2b_conformer5s_text_nothinking,hindi,117,28,10,30,49,0.74,0.48,0.83,0.66,0.01,85,0.01,33,0.01,52
e2b_conformer5s_text_nothinking,kannada,68,16,9,15,28,0.64,0.52,0.76,0.65,0.0,40,0.0,17,0.0,23
e2b_conformer5s_text_nothinking,malayalam,58,10,7,25,16,0.59,0.29,0.7,0.45,0.01,39,0.0,11,0.01,28
e2b_conformer5s_text_nothinking,tamil,65,10,9,24,22,0.53,0.29,0.71,0.49,0.01,43,0.01,13,0.01,30
e2b_conformer5s_text_nothinking,telugu,73,21,3,35,14,0.88,0.38,0.82,0.48,0.01,78,0.0,29,0.01,49
e4b_conformer5s_text_nothinking,hindi,117,15,2,43,57,0.88,0.26,0.97,0.62,0.02,48,0.02,25,0.03,23
e4b_conformer5s_text_nothinking,kannada,68,6,1,25,36,0.86,0.19,0.97,0.62,0.01,21,0.01,9,0.01,12
e4b_conformer5s_text_nothinking,malayalam,58,3,2,32,21,0.6,0.09,0.91,0.41,0.02,12,0.01,6,0.02,6
e4b_conformer5s_text_nothinking,tamil,65,5,1,29,30,0.83,0.15,0.97,0.54,0.02,23,0.01,9,0.03,14
e4b_conformer5s_text_nothinking,telugu,73,9,0,47,17,1.0,0.16,1.0,0.36,0.02,38,0.01,15,0.03,23
gemini-3.5-flash-lite,hindi,117,21,4,37,55,0.84,0.36,0.93,0.65,,0,,0,,0
gemini-3.5-flash-lite,kannada,68,10,0,21,37,1.0,0.32,1.0,0.69,,0,,0,,0
gemini-3.5-flash-lite,malayalam,56,7,1,26,22,0.88,0.21,0.96,0.52,,0,,0,,0
gemini-3.5-flash-lite,tamil,63,8,0,25,30,1.0,0.24,1.0,0.6,,0,,0,,0
gemini-3.5-flash-lite,telugu,73,14,0,42,17,1.0,0.25,1.0,0.42,,0,,0,,0
