model,language,tp,fp,fn,tn,precision,recall,specificity,accuracy,mean_entropy_overall,n_flags_with_entropy,mean_entropy_tp_flags,n_tp_flags_with_entropy,mean_entropy_fp_flags,n_fp_flags_with_entropy
e2b_thinking,hindi,52,55,86,46,0.49,0.38,0.46,0.41,0.19,107,0.18,52,0.2,55
e2b_thinking,kannada,41,89,42,29,0.32,0.49,0.25,0.35,0.2,128,0.2,41,0.2,87
e2b_thinking,malayalam,26,38,48,17,0.41,0.35,0.31,0.33,0.17,64,0.17,26,0.18,38
e2b_thinking,tamil,30,68,64,21,0.31,0.32,0.24,0.28,0.18,96,0.18,30,0.18,66
e2b_thinking,telugu,47,68,77,15,0.41,0.38,0.18,0.3,0.2,114,0.2,47,0.21,67
e2b_nothinking,hindi,55,204,83,41,0.21,0.4,0.17,0.25,0.18,259,0.19,55,0.17,204
e2b_nothinking,kannada,32,212,51,19,0.13,0.39,0.08,0.16,0.51,244,0.42,32,0.52,212
e2b_nothinking,malayalam,29,144,45,14,0.17,0.39,0.09,0.19,0.52,173,0.5,29,0.53,144
e2b_nothinking,tamil,27,119,67,17,0.18,0.29,0.12,0.19,0.51,146,0.45,27,0.52,119
e2b_nothinking,telugu,49,145,75,12,0.25,0.4,0.08,0.22,0.56,194,0.5,49,0.58,145
e4b_thinking,hindi,92,129,46,48,0.42,0.67,0.27,0.44,0.31,221,0.26,92,0.34,129
e4b_thinking,tamil,44,112,50,18,0.28,0.47,0.14,0.28,0.31,156,0.25,44,0.33,112
e4b_thinking,telugu,4,0,0,0,1.0,1.0,,1.0,0.23,4,0.23,4,,0
e4b_nothinking,hindi,12,6,125,57,0.67,0.09,0.9,0.34,0.32,18,0.29,12,0.38,6
e4b_nothinking,kannada,5,4,78,37,0.56,0.06,0.9,0.34,0.38,9,0.35,5,0.41,4
e4b_nothinking,malayalam,2,2,72,22,0.5,0.03,0.92,0.24,0.83,4,0.85,2,0.81,2
e4b_nothinking,tamil,6,4,88,30,0.6,0.06,0.88,0.28,0.65,10,0.52,6,0.85,4
e4b_nothinking,telugu,3,1,121,17,0.75,0.02,0.94,0.14,0.32,4,0.27,3,0.47,1
12b_nothinking,hindi,34,31,104,55,0.52,0.25,0.64,0.4,,0,,0,,0
12b_nothinking,kannada,21,41,62,32,0.34,0.25,0.44,0.34,,0,,0,,0
12b_nothinking,malayalam,10,33,64,21,0.23,0.14,0.39,0.24,,0,,0,,0
12b_nothinking,tamil,14,26,80,25,0.35,0.15,0.49,0.27,,0,,0,,0
12b_nothinking,telugu,15,23,109,15,0.39,0.12,0.39,0.19,,0,,0,,0
e2b_conformer5s_text_nothinking,hindi,34,52,104,49,0.4,0.25,0.49,0.35,0.01,85,0.01,33,0.01,52
e2b_conformer5s_text_nothinking,kannada,17,24,66,28,0.41,0.2,0.54,0.33,0.0,40,0.0,17,0.0,23
e2b_conformer5s_text_nothinking,malayalam,11,28,63,16,0.28,0.15,0.36,0.23,0.01,39,0.0,11,0.01,28
e2b_conformer5s_text_nothinking,tamil,13,30,81,22,0.3,0.14,0.42,0.24,0.01,43,0.01,13,0.01,30
e2b_conformer5s_text_nothinking,telugu,29,49,95,14,0.37,0.23,0.22,0.23,0.01,78,0.0,29,0.01,49
e4b_conformer5s_text_nothinking,hindi,25,23,113,57,0.52,0.18,0.71,0.38,0.02,48,0.02,25,0.03,23
e4b_conformer5s_text_nothinking,kannada,9,12,74,36,0.43,0.11,0.75,0.34,0.01,21,0.01,9,0.01,12
e4b_conformer5s_text_nothinking,malayalam,6,6,68,21,0.5,0.08,0.78,0.27,0.02,12,0.01,6,0.02,6
e4b_conformer5s_text_nothinking,tamil,9,14,85,30,0.39,0.1,0.68,0.28,0.02,23,0.01,9,0.03,14
e4b_conformer5s_text_nothinking,telugu,15,23,109,17,0.39,0.12,0.42,0.2,0.02,38,0.01,15,0.03,23
gemini-3.5-flash-lite,hindi,24,10,114,55,0.71,0.17,0.85,0.39,,0,,0,,0
gemini-3.5-flash-lite,kannada,12,3,71,37,0.8,0.14,0.93,0.4,,0,,0,,0
gemini-3.5-flash-lite,malayalam,7,4,61,22,0.64,0.1,0.85,0.31,,0,,0,,0
gemini-3.5-flash-lite,tamil,10,3,82,30,0.77,0.11,0.91,0.32,,0,,0,,0
gemini-3.5-flash-lite,telugu,18,5,106,17,0.78,0.15,0.77,0.24,,0,,0,,0
