model,language,mean_entropy_overall,n_flags_with_entropy,mean_entropy_tp_flags,n_tp_flags_with_entropy,mean_entropy_fp_flags,n_fp_flags_with_entropy
e2b_thinking,hindi,0.19,107,0.18,52,0.2,55
e2b_thinking,kannada,0.2,128,0.2,41,0.2,87
e2b_thinking,malayalam,0.17,64,0.17,26,0.18,38
e2b_thinking,tamil,0.18,96,0.18,30,0.18,66
e2b_thinking,telugu,0.2,114,0.2,47,0.21,67
e2b_thinking,ALL,0.19,509,0.19,196,0.19,313
e2b_nothinking,hindi,0.18,259,0.19,55,0.17,204
e2b_nothinking,kannada,0.51,244,0.42,32,0.52,212
e2b_nothinking,malayalam,0.52,173,0.5,29,0.53,144
e2b_nothinking,tamil,0.51,146,0.45,27,0.52,119
e2b_nothinking,telugu,0.56,194,0.5,49,0.58,145
e2b_nothinking,ALL,0.44,1016,0.39,192,0.45,824
e4b_thinking,hindi,0.31,221,0.26,92,0.34,129
e4b_thinking,tamil,0.31,156,0.25,44,0.33,112
e4b_thinking,telugu,0.23,4,0.23,4,,0
e4b_thinking,ALL,0.31,381,0.26,140,0.33,241
e4b_nothinking,hindi,0.32,18,0.29,12,0.38,6
e4b_nothinking,kannada,0.38,9,0.35,5,0.41,4
e4b_nothinking,malayalam,0.83,4,0.85,2,0.81,2
e4b_nothinking,tamil,0.65,10,0.52,6,0.85,4
e4b_nothinking,telugu,0.32,4,0.27,3,0.47,1
e4b_nothinking,ALL,0.45,45,0.39,28,0.55,17
12b_nothinking,hindi,,0,,0,,0
12b_nothinking,kannada,,0,,0,,0
12b_nothinking,malayalam,,0,,0,,0
12b_nothinking,tamil,,0,,0,,0
12b_nothinking,telugu,,0,,0,,0
12b_nothinking,ALL,,0,,0,,0
e2b_conformer5s_text_nothinking,hindi,0.01,85,0.01,33,0.01,52
e2b_conformer5s_text_nothinking,kannada,0.0,40,0.0,17,0.0,23
e2b_conformer5s_text_nothinking,malayalam,0.01,39,0.0,11,0.01,28
e2b_conformer5s_text_nothinking,tamil,0.01,43,0.01,13,0.01,30
e2b_conformer5s_text_nothinking,telugu,0.01,78,0.0,29,0.01,49
e2b_conformer5s_text_nothinking,ALL,0.01,285,0.01,103,0.01,182
e4b_conformer5s_text_nothinking,hindi,0.02,48,0.02,25,0.03,23
e4b_conformer5s_text_nothinking,kannada,0.01,21,0.01,9,0.01,12
e4b_conformer5s_text_nothinking,malayalam,0.02,12,0.01,6,0.02,6
e4b_conformer5s_text_nothinking,tamil,0.02,23,0.01,9,0.03,14
e4b_conformer5s_text_nothinking,telugu,0.02,38,0.01,15,0.03,23
e4b_conformer5s_text_nothinking,ALL,0.02,142,0.01,64,0.03,78
gemini-3.5-flash-lite,hindi,,0,,0,,0
gemini-3.5-flash-lite,kannada,,0,,0,,0
gemini-3.5-flash-lite,malayalam,,0,,0,,0
gemini-3.5-flash-lite,tamil,,0,,0,,0
gemini-3.5-flash-lite,telugu,,0,,0,,0
gemini-3.5-flash-lite,ALL,,0,,0,,0
