model,model_category,fp_type,n,pct_of_fp
e2b_thinking,Explicit-Flirting,GT_MISS,3,12.0
e2b_thinking,Explicit-Flirting,MATCHER_MISS,3,12.0
e2b_thinking,Explicit-Flirting,DUPLICATE_OR_EXTRA_INSTANCE,2,8.0
e2b_thinking,Explicit-Flirting,MISHEARING,2,8.0
e2b_thinking,Explicit-Flirting,OVER_SENSITIVITY,15,60.0
e2b_thinking,PlatformMove,MATCHER_MISS,4,22.22
e2b_thinking,PlatformMove,DUPLICATE_OR_EXTRA_INSTANCE,4,22.22
e2b_thinking,PlatformMove,FABRICATION,2,11.11
e2b_thinking,PlatformMove,EXCEPTION_IGNORED,3,16.67
e2b_thinking,PlatformMove,CONTEXT_CONFUSION,3,16.67
e2b_thinking,PlatformMove,OVER_SENSITIVITY,2,11.11
e2b_thinking,SuspiciousActivity,GT_MISS,1,9.09
e2b_thinking,SuspiciousActivity,MATCHER_MISS,2,18.18
e2b_thinking,SuspiciousActivity,DUPLICATE_OR_EXTRA_INSTANCE,5,45.45
e2b_thinking,SuspiciousActivity,FABRICATION,1,9.09
e2b_thinking,SuspiciousActivity,OVER_SENSITIVITY,1,9.09
e2b_thinking,SuspiciousActivity,UNCLEAR,1,9.09
