model,language,WER_2s,WER_5s,WER_7s,WER_10s,CER_2s,CER_5s,CER_7s,CER_10s,SWER_2s,SWER_5s,SWER_7s,SWER_10s
indic_conformer,hindi,0.53,0.47,0.48,0.51,0.34,0.33,0.34,0.37,0.08,0.08,0.1,0.1
indic_conformer,kannada,0.76,0.73,0.75,0.79,0.4,0.42,0.47,0.54,0.04,0.06,0.06,0.08
indic_conformer,malayalam,0.78,0.75,0.77,0.8,0.4,0.45,0.49,0.54,0.05,0.06,0.07,0.07
indic_conformer,tamil,0.72,0.71,0.76,0.83,0.39,0.44,0.53,0.64,0.05,0.06,0.08,0.1
indic_conformer,telugu,0.75,0.7,0.71,0.73,0.45,0.44,0.48,0.51,0.04,0.06,0.07,0.09
indic_transcribe_core,hindi,0.55,0.42,0.53,0.35,0.4,0.3,0.35,0.24,0.03,0.03,0.03,0.03
indic_transcribe_core,kannada,1.23,0.72,0.59,0.57,0.79,0.41,0.31,0.29,0.01,0.01,0.01,0.02
indic_transcribe_core,malayalam,0.86,0.69,0.61,0.56,0.42,0.34,0.3,0.29,0.01,0.01,0.01,0.02
indic_transcribe_core,tamil,0.85,0.7,0.67,0.64,0.5,0.37,0.35,0.33,0.01,0.02,0.01,0.02
indic_transcribe_core,telugu,0.67,0.53,0.51,0.46,0.41,0.31,0.3,0.26,0.01,0.01,0.01,0.01
