source,language,wer_2s,wer_5s,wer_7s,wer_10s,cer_2s,cer_5s,cer_7s,cer_10s,swer_2s,swer_5s,swer_7s,swer_10s
indic_conformer,hindi,0.528,0.473,0.478,0.507,0.341,0.328,0.341,0.367,0.085,0.085,0.101,0.095
indic_conformer,kannada,0.759,0.726,0.753,0.789,0.395,0.418,0.474,0.538,0.040,0.056,0.061,0.078
indic_conformer,malayalam,0.776,0.754,0.766,0.796,0.405,0.452,0.487,0.542,0.050,0.064,0.074,0.074
indic_conformer,tamil,0.720,0.711,0.762,0.825,0.395,0.444,0.530,0.641,0.047,0.058,0.081,0.103
indic_conformer,telugu,0.753,0.695,0.712,0.732,0.446,0.444,0.479,0.512,0.044,0.065,0.075,0.089
indic_transcribe_core,hindi,0.549,0.423,0.528,0.353,0.403,0.297,0.353,0.243,0.029,0.032,0.031,0.035
indic_transcribe_core,kannada,1.233,0.718,0.588,0.567,0.793,0.407,0.307,0.286,0.014,0.010,0.015,0.018
indic_transcribe_core,malayalam,0.858,0.691,0.609,0.557,0.422,0.338,0.304,0.288,0.015,0.014,0.014,0.017
indic_transcribe_core,tamil,0.846,0.698,0.669,0.635,0.499,0.372,0.351,0.332,0.011,0.017,0.013,0.018
indic_transcribe_core,telugu,0.667,0.534,0.512,0.464,0.413,0.313,0.298,0.259,0.010,0.012,0.013,0.015
