source,chunk_seconds,language,n_files,micro_semantic_wer
indic_conformer,2.0,hindi,117,0.0845911658486897
indic_conformer,2.0,kannada,68,0.039651933155344606
indic_conformer,2.0,malayalam,58,0.05020827134781315
indic_conformer,2.0,tamil,65,0.047218710493046774
indic_conformer,2.0,telugu,73,0.0436629289840299
indic_conformer,5.0,hindi,117,0.0849615705157885
indic_conformer,5.0,kannada,68,0.05562147730643726
indic_conformer,5.0,malayalam,58,0.06367152633144897
indic_conformer,5.0,tamil,65,0.0584070796460177
indic_conformer,5.0,telugu,73,0.06450334126175104
indic_conformer,7.0,hindi,115,0.1006114793689944
indic_conformer,7.0,kannada,68,0.06061504993572629
indic_conformer,7.0,malayalam,58,0.07386194584944956
indic_conformer,7.0,tamil,65,0.08122629582806574
indic_conformer,7.0,telugu,73,0.0746403896250991
indic_conformer,10.0,hindi,116,0.09539629805410536
indic_conformer,10.0,kannada,68,0.07806783348165727
indic_conformer,10.0,malayalam,58,0.07386194584944956
indic_conformer,10.0,tamil,65,0.10335018963337547
indic_conformer,10.0,telugu,73,0.0892513308415449
indic_transcribe_core,2.0,hindi,117,0.02930826928419298
indic_transcribe_core,2.0,kannada,68,0.013645802432512608
indic_transcribe_core,2.0,malayalam,58,0.01487652484379649
indic_transcribe_core,2.0,tamil,65,0.011378002528445006
indic_transcribe_core,2.0,telugu,73,0.009853890587835541
indic_transcribe_core,5.0,hindi,117,0.032364107787758126
indic_transcribe_core,5.0,kannada,68,0.010283793137545733
indic_transcribe_core,5.0,malayalam,58,0.013909550728949718
indic_transcribe_core,5.0,tamil,65,0.016814159292035398
indic_transcribe_core,5.0,telugu,73,0.011666100351115642
indic_transcribe_core,7.0,hindi,109,0.031084492402118497
indic_transcribe_core,7.0,kannada,68,0.014832393948383269
indic_transcribe_core,7.0,malayalam,58,0.013909550728949718
indic_transcribe_core,7.0,tamil,57,0.013117017604418364
indic_transcribe_core,7.0,telugu,73,0.013138520783780723
indic_transcribe_core,10.0,hindi,117,0.034956940457449764
indic_transcribe_core,10.0,kannada,68,0.017996637990705035
indic_transcribe_core,10.0,malayalam,50,0.016568679850347406
indic_transcribe_core,10.0,tamil,65,0.01788874841972187
indic_transcribe_core,10.0,telugu,73,0.014780835881753314
