source,metric,bucket,n_judged,pct_significant
indic_conformer,wer,0.0-0.1,3,0.0
indic_conformer,wer,0.1-0.2,1,0.0
indic_conformer,wer,0.2-0.3,11,0.0
indic_conformer,wer,0.3-0.4,28,0.07142857142857142
indic_conformer,wer,0.4-0.5,33,0.0
indic_conformer,wer,0.5-0.6,32,0.09375
indic_conformer,wer,0.6-0.7,38,0.10526315789473684
indic_conformer,wer,0.7-0.8,32,0.125
indic_conformer,wer,0.8-0.9,56,0.5
indic_conformer,wer,0.9-1.0,40,0.775
indic_conformer,wer,1.0-1.1,37,0.5405405405405406
indic_conformer,wer,1.1-1.2,9,0.4444444444444444
indic_conformer,wer,1.2-1.3,2,0.5
indic_conformer,wer,1.3-1.4,8,0.375
indic_conformer,wer,1.5+,27,0.2222222222222222
indic_conformer,cer,0.0-0.1,5,0.0
indic_conformer,cer,0.1-0.2,25,0.04
indic_conformer,cer,0.2-0.3,55,0.03636363636363636
indic_conformer,cer,0.3-0.4,48,0.125
indic_conformer,cer,0.4-0.5,51,0.11764705882352941
indic_conformer,cer,0.5-0.6,47,0.23404255319148937
indic_conformer,cer,0.6-0.7,33,0.5757575757575758
indic_conformer,cer,0.7-0.8,31,0.7096774193548387
indic_conformer,cer,0.8-0.9,24,0.875
indic_conformer,cer,0.9-1.0,10,0.9
indic_conformer,cer,1.0-1.1,14,0.42857142857142855
indic_conformer,cer,1.1-1.2,4,0.5
indic_conformer,cer,1.2-1.3,1,1.0
indic_conformer,cer,1.3-1.4,5,0.0
indic_conformer,cer,1.4-1.5,1,0.0
indic_conformer,cer,1.5+,3,0.0
indic_transcribe_core,wer,0.0-0.1,1,0.0
indic_transcribe_core,wer,0.1-0.2,19,0.10526315789473684
indic_transcribe_core,wer,0.2-0.3,32,0.0625
indic_transcribe_core,wer,0.3-0.4,28,0.14285714285714285
indic_transcribe_core,wer,0.4-0.5,31,0.1935483870967742
indic_transcribe_core,wer,0.5-0.6,50,0.2
indic_transcribe_core,wer,0.6-0.7,36,0.3055555555555556
indic_transcribe_core,wer,0.7-0.8,30,0.4666666666666667
indic_transcribe_core,wer,0.8-0.9,31,0.45161290322580644
indic_transcribe_core,wer,0.9-1.0,32,0.5625
indic_transcribe_core,wer,1.0-1.1,31,0.6129032258064516
indic_transcribe_core,wer,1.1-1.2,27,0.4444444444444444
indic_transcribe_core,wer,1.2-1.3,9,0.7777777777777778
indic_transcribe_core,wer,1.3-1.4,20,0.75
indic_transcribe_core,wer,1.4-1.5,11,0.5454545454545454
indic_transcribe_core,wer,1.5+,78,0.7051282051282052
indic_transcribe_core,cer,0.0-0.1,19,0.05263157894736842
indic_transcribe_core,cer,0.1-0.2,53,0.07547169811320754
indic_transcribe_core,cer,0.2-0.3,56,0.125
indic_transcribe_core,cer,0.3-0.4,43,0.2558139534883721
indic_transcribe_core,cer,0.4-0.5,48,0.4375
indic_transcribe_core,cer,0.5-0.6,52,0.40384615384615385
indic_transcribe_core,cer,0.6-0.7,39,0.5641025641025641
indic_transcribe_core,cer,0.7-0.8,31,0.5161290322580645
indic_transcribe_core,cer,0.8-0.9,23,0.6521739130434783
indic_transcribe_core,cer,0.9-1.0,17,0.7647058823529411
indic_transcribe_core,cer,1.0-1.1,18,0.8333333333333334
indic_transcribe_core,cer,1.1-1.2,7,1.0
indic_transcribe_core,cer,1.2-1.3,7,0.7142857142857143
indic_transcribe_core,cer,1.3-1.4,10,0.7
indic_transcribe_core,cer,1.4-1.5,11,0.7272727272727273
indic_transcribe_core,cer,1.5+,32,0.6875
