source,bucket,n_files,mean_semantic_wer,min_semantic_wer,max_semantic_wer
indic_conformer,0.0-0.1,3,0.0,0.0,0.0
indic_conformer,0.1-0.2,1,0.0,0.0,0.0
indic_conformer,0.2-0.3,11,0.06,0.0,0.2
indic_conformer,0.3-0.4,56,0.1,0.01,0.26
indic_conformer,0.4-0.5,93,0.13,0.0,0.42
indic_conformer,0.5-0.6,148,0.17,0.0,0.56
indic_conformer,0.6-0.7,269,0.17,0.0,0.65
indic_conformer,0.7-0.8,366,0.16,0.0,1.11
indic_conformer,0.8-0.9,346,0.25,0.0,0.95
indic_conformer,0.9-1.0,96,0.5,0.0,1.18
indic_conformer,1.0-1.1,79,0.41,0.0,1.1
indic_conformer,1.1-1.2,9,0.31,0.0,1.0
indic_conformer,1.2-1.3,2,0.44,0.33,0.55
indic_conformer,1.3-1.4,8,0.22,0.0,0.67
indic_conformer,1.5+,30,0.34,0.0,1.0
indic_transcribe_core,0.0-0.1,1,0.0,0.0,0.0
indic_transcribe_core,0.1-0.2,17,0.03,0.0,0.24
indic_transcribe_core,0.2-0.3,107,0.04,0.0,0.41
indic_transcribe_core,0.3-0.4,137,0.04,0.0,0.53
indic_transcribe_core,0.4-0.5,233,0.03,0.0,0.28
indic_transcribe_core,0.5-0.6,286,0.04,0.0,0.75
indic_transcribe_core,0.6-0.7,225,0.05,0.0,0.75
indic_transcribe_core,0.7-0.8,113,0.04,0.0,0.35
indic_transcribe_core,0.8-0.9,69,0.08,0.0,0.68
indic_transcribe_core,0.9-1.0,45,0.12,0.0,0.82
indic_transcribe_core,1.0-1.1,43,0.21,0.0,1.0
indic_transcribe_core,1.1-1.2,31,0.17,0.0,1.0
indic_transcribe_core,1.2-1.3,9,0.18,0.0,0.82
indic_transcribe_core,1.3-1.4,20,0.14,0.0,1.0
indic_transcribe_core,1.4-1.5,11,0.09,0.0,0.43
indic_transcribe_core,1.5+,149,0.19,0.0,1.02
