file_path,expected_status,actual_classification,note
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_audio_call_421071310_audio_1788465787061.mp3,safe,"[{""ground_truth_category"": ""SuspiciousActivity"", ""ground_truth_timestamp"": ""03:58"", ""ground_truth_excerpt"": ""Kitne kitne dunga main? Kitne dunga main aapko? 300 rupaye dunga, 400 rupaye dunga, 500 rupaye dunga"", ""ground_truth_translation"": ""How much will I give? How much will I give you? I will give 300 rupees, 400 rupees, 500 rupees"", ""ground_truth_justification"": ""The user is explicitly offering money in exchange for a video call service in a suggestive context."", ""ground_truth_confidence"": 0.8}, {""ground_truth_category"": ""Explicit-Flirting"", ""ground_truth_timestamp"": ""04:26"", ""ground_truth_excerpt"": ""300 rupaye mein aap body dikha rahe ho sabko, theek hai?"", ""ground_truth_translation"": ""For 300 rupees you are showing your body to everyone, okay?"", ""ground_truth_justification"": ""The user is making a suggestive comment regarding the other person's body in exchange for money."", ""ground_truth_confidence"": 0.4}]","FP file has confirmed violation(s): ['Explicit-Flirting', 'SuspiciousActivity'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_audio_call_421768524_audio_1788539479106.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:03"", ""ground_truth_excerpt"": ""WhatsApp"", ""ground_truth_translation"": ""WhatsApp"", ""ground_truth_justification"": ""The user mentioned an external communication platform, which is a violation of the platform move policy."", ""ground_truth_confidence"": 0.8}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_audio_call_421835569_audio_1788543699379.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:55"", ""ground_truth_excerpt"": ""Insta chalate ho?"", ""ground_truth_translation"": ""Do you use Insta?"", ""ground_truth_justification"": ""The user is attempting to move the conversation to an external platform by asking about Instagram usage."", ""ground_truth_confidence"": 0.8}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_audio_call_421997101_audio_1788553909604.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""03:52"", ""ground_truth_excerpt"": ""Snapchat use karte ho aap?"", ""ground_truth_translation"": ""Do you use Snapchat?"", ""ground_truth_justification"": ""The user is initiating a move to an external social media platform (Snapchat)."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""04:03"", ""ground_truth_excerpt"": ""ID ka naam boliye aapka"", ""ground_truth_translation"": ""Tell me your ID name"", ""ground_truth_justification"": ""The user is requesting contact details to move the conversation to an external platform."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""07:24"", ""ground_truth_excerpt"": ""Snapchat mein baat karte hai, aao"", ""ground_truth_translation"": ""Let's talk on Snapchat, come"", ""ground_truth_justification"": ""The user is explicitly suggesting to move the conversation to an external platform (Snapchat)."", ""ground_truth_confidence"": 0.9}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_audio_call_423610988_audio_1788712982461.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:24"", ""ground_truth_excerpt"": ""Phone lag raha hai, Instagram."", ""ground_truth_translation"": ""The phone is ringing, Instagram."", ""ground_truth_justification"": ""The user mentions an external social media platform (Instagram) in a context suggesting a move or connection outside the platform."", ""ground_truth_confidence"": 0.8}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_audio_call_425656431_audio_1788896027178.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:22"", ""ground_truth_excerpt"": ""\u092c\u093e\u0915\u0940 200-300 \u0930\u0941\u092a\u092f\u0947 \u092d\u0940 \u092c\u0928 \u091c\u093e\u0924\u0947 \u0939\u0948\u0902 \u0926\u093f\u0928 \u0915\u0947 \u0914\u0930 \u0915\u094b\u0908 \u090f\u0915 \u0906\u0927\u093e \u0921\u093e\u0932 \u0921\u0942\u0932 \u092d\u0940 \u0926\u0947\u0924\u0947 \u0939\u0948\u0902 \u0935\u094d\u0939\u093e\u091f\u094d\u0938\u090f\u092a \u092a\u0947 \u092d\u0940"", ""ground_truth_translation"": ""Also, 200-300 rupees are made in a day and some people even give tips on WhatsApp."", ""ground_truth_justification"": ""The user mentions using WhatsApp for communication and earnings outside the platform."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:34"", ""ground_truth_excerpt"": ""\u0905\u091a\u094d\u091b\u093e \u0924\u094b \u0935\u094d\u0939\u093e\u091f\u094d\u0938\u090f\u092a \u092a\u0947 \u092d\u0940 \u0915\u0930 \u0932\u0947\u0924\u0940 \u0939\u094b \u092c\u093e\u0924"", ""ground_truth_translation"": ""Oh, so you talk on WhatsApp too?"", ""ground_truth_justification"": ""The user is inquiring about continuing the conversation on an external platform (WhatsApp)."", ""ground_truth_confidence"": 0.9}, {""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""00:37"", ""ground_truth_excerpt"": ""\u0939\u093e\u0902 \u091c\u0940 \u0935\u094d\u0939\u093e\u091f\u094d\u0938\u090f\u092a \u092a\u0947 \u092d\u0940 \u0915\u0930 \u0932\u0947\u0924\u0940 \u0939\u0942\u0902 \u0928\u093e \u0924\u092d\u0940 \u0924\u094b \u0939\u094b \u091c\u093e\u0924\u0947 \u0939\u0948\u0902 \u0925\u094b\u0921\u093c\u0940 \u0905\u0930\u094d\u0928\u093f\u0902\u0917"", ""ground_truth_translation"": ""Yes, I do talk on WhatsApp, that's how I get some earnings."", ""ground_truth_justification"": ""The user confirms using WhatsApp for communication and earnings outside the platform."", ""ground_truth_confidence"": 0.9}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_default_420147298_audio_1788380486702.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""04:52"", ""ground_truth_excerpt"": ""Oh lao apna Instagram toh wahin baat karta hoon"", ""ground_truth_translation"": ""Oh bring your Instagram, I will talk there"", ""ground_truth_justification"": ""The user is explicitly asking for an external social media handle (Instagram) to move the conversation off the platform."", ""ground_truth_confidence"": 1.0}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_pm/FP/rec_default_423958539_audio_1788751477018.mp3,safe,"[{""ground_truth_category"": ""PlatformMove"", ""ground_truth_timestamp"": ""02:41"", ""ground_truth_excerpt"": ""Ispe, WhatsApp pe?"", ""ground_truth_translation"": ""On this, on WhatsApp?"", ""ground_truth_justification"": ""The user explicitly suggests moving the conversation to an external platform (WhatsApp)."", ""ground_truth_confidence"": 0.9}]","FP file has confirmed violation(s): ['PlatformMove'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_ef/FP/rec_audio_call_419508797_audio_1788334367395.mp3,safe,"[{""ground_truth_category"": ""Explicit-Flirting"", ""ground_truth_timestamp"": ""00:23"", ""ground_truth_excerpt"": ""Assam ki ladkiyan toh bahut hot hoti hain."", ""ground_truth_translation"": ""Girls from Assam are very hot."", ""ground_truth_justification"": ""The user makes a suggestive comment regarding the physical appearance of women from a specific region."", ""ground_truth_confidence"": 0.4}]","FP file has confirmed violation(s): ['Explicit-Flirting'] — the original flag may have been correct after all, or a different real violation exists."
/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_ef/FP/rec_audio_call_421677953_audio_1788530753328.mp3,safe,"[{""ground_truth_category"": ""Explicit-Flirting"", ""ground_truth_timestamp"": ""00:19"", ""ground_truth_excerpt"": ""Kya kaisi baatein karti ho aap? Normal karti ho ya hot and sexy baatein karti ho?"", ""ground_truth_translation"": ""What kind of talk do you do? Do you do normal talk or hot and sexy talk?"", ""ground_truth_justification"": ""The user is asking for suggestive or 'hot and sexy' talk, which falls under the category of mild flirting."", ""ground_truth_confidence"": 0.4}]","FP file has confirmed violation(s): ['Explicit-Flirting'] — the original flag may have been correct after all, or a different real violation exists."
